VAR;LOC;ID;1:F;1:Fm';1:Temp;1:Y (II);1:Fo';1:qP;1:qN;1:qL;1:NPQ;1:Y (NO);1:Y (NPQ);1:Fo;1:Fm;1:Fv/Fm
CBD_P;c;L183;79;144;16.7;0.451;37;0.607;0.018;0.284;0.014;0.541;0.008;37;146;0.747
CBD_P;d;L184;65;142;16.9;0.542;33;0.706;0.035;0.358;0.028;0.445;0.013;33;146;0.774
CBD_P;a;L185;68;133;16.9;0.489;36;0.67;0.03;0.355;0.023;0.5;0.011;36;136;0.735
CBD_V;b;L186;50;137;16.9;0.635;32;0.829;0.054;0.531;0.044;0.35;0.015;32;143;0.776
CBD_V;c;L187;67;175;16.9;0.617;23;0.711;0.056;0.244;0.051;0.364;0.019;23;184;0.875
CBD_V;d;L188;69;150;17.1;0.54;31;0.681;0;0.306;0;0.46;0;31;150;0.793
CBD_V;a;L189;77;145;17.2;0.469;38;0.636;0.018;0.314;0.014;0.524;0.007;38;147;0.741
CBD_C;b;L190;61;140;14.5;0.564;32;0.731;0.027;0.383;0.021;0.427;0.009;32;143;0.776
CBD_C;c;L191;63;137;14.8;0.54;36;0.733;-0.01;0.419;-0.007;0.463;-0.003;36;136;0.735
CBD_C;d;L192;67;144;15.3;0.535;39;0.733;0.045;0.427;0.035;0.45;0.015;39;149;0.738
CBD_C;a;L193;75;139;15.3;0.46;37;0.627;0.029;0.309;0.022;0.528;0.012;37;142;0.739
CBD_P;b;L194;63;139;14.8;0.547;35;0.731;0.046;0.406;0.036;0.438;0.015;35;144;0.757
CBD_P;c;L195;74;147;15.2;0.497;38;0.67;0.027;0.344;0.02;0.493;0.01;38;150;0.747
CBD_P;d;L196;76;155;15.7;0.51;41;0.693;0.017;0.374;0.013;0.484;0.006;41;157;0.739
CBD_P;a;L197;76;131;15.9;0.42;41;0.611;0;0.33;0;0.58;0;41;131;0.687
CBD_V;b;L198;70;187;15.2;0.626;39;0.791;0.039;0.441;0.032;0.363;0.011;39;193;0.798
CBD_V;c;L199;83;180;15.3;0.539;43;0.708;0.035;0.367;0.028;0.449;0.012;43;185;0.768
CBD_V;d;L200;77;158;16;0.513;38;0.675;0.016;0.333;0.013;0.481;0.006;38;160;0.763
CBD_V;a;L201;78;145;15.9;0.462;35;0.609;0.027;0.273;0.021;0.527;0.011;35;148;0.764
CBD_C;b;L202;66;131;16;0.496;33;0.663;0.03;0.332;0.023;0.493;0.011;33;134;0.754
CBD_C;c;L203;68;129;16.4;0.473;33;0.635;0.01;0.308;0.008;0.523;0.004;33;130;0.746
CBD_C;d;L204;78;156;17.4;0.5;40;0.672;-0.027;0.345;-0.019;0.51;-0.01;40;153;0.739
CBD_C;a;L205;82;154;17.4;0.468;41;0.637;0.009;0.319;0.006;0.529;0.003;41;155;0.735
CBD_P;b;L206;57;135;16.4;0.578;32;0.757;0.037;0.425;0.03;0.41;0.012;32;139;0.77
CBD_P;c;L207;74;151;16.4;0.51;35;0.664;0.033;0.314;0.026;0.477;0.013;35;155;0.774
CBD_P;d;L208;72;154;17.6;0.532;40;0.719;0.026;0.399;0.019;0.459;0.009;40;157;0.745
CBD_P;a;L209;71;144;17.6;0.507;40;0.702;0.055;0.395;0.042;0.473;0.02;40;150;0.733
CBD_V;b;L210;66;131;16.5;0.496;31;0.65;0;0.305;0;0.504;0;31;131;0.763
CBD_V;c;L211;70;134;16.5;0.478;35;0.646;0.01;0.323;0.007;0.519;0.003;35;135;0.741
CBD_V;d;L212;68;138;17.6;0.507;38;0.7;0.038;0.391;0.029;0.479;0.014;38;142;0.732
CBD_V;a;L213;65;131;17.9;0.504;32;0.667;0.02;0.328;0.015;0.489;0.007;32;133;0.759
CBD_C;b;L214;50;142;16.5;0.648;33;0.844;0.009;0.557;0.007;0.35;0.002;33;143;0.769
CBD_C;c;L215;53;139;16.5;0.619;32;0.804;0.018;0.485;0.014;0.376;0.005;32;141;0.773
CBD_C;d;L216;36;91;16.5;0.604;22;0.797;0.042;0.487;0.033;0.383;0.013;22;94;0.766
CBD_C;a;L217;51;132;16.5;0.614;30;0.794;0;0.467;0;0.386;0;30;132;0.773
CBD_P;b;L218;54;126;16.4;0.571;27;0.727;0.02;0.364;0.016;0.422;0.007;27;128;0.789
CBD_P;c;L219;56;140;16.4;0.6;31;0.771;0.009;0.427;0.007;0.397;0.003;31;141;0.78
CBD_P;d;L220;53;138;16.4;0.616;28;0.773;0.009;0.408;0.007;0.381;0.003;28;139;0.799
CBD_P;a;L221;53;130;16.4;0.592;30;0.77;0.029;0.436;0.023;0.398;0.01;30;133;0.774
CBD_V;b;L222;57;140;16.2;0.593;29;0.748;0;0.381;0;0.407;0;29;140;0.793
CBD_V;c;L223;55;147;15.7;0.626;34;0.814;0.017;0.503;0.014;0.369;0.005;34;149;0.772
CBD_V;d;L224;59;158;16.2;0.627;31;0.78;0.016;0.41;0.013;0.369;0.004;31;160;0.806
CBD_V;a;L225;62;167;16.2;0.629;34;0.789;0.015;0.433;0.012;0.367;0.004;34;169;0.799
CBD_C;b;L226;59;152;15.3;0.612;29;0.756;0;0.372;0;0.388;0;29;152;0.809
CBD_C;c;L227;56;135;15.5;0.585;31;0.76;0.019;0.421;0.015;0.409;0.006;31;137;0.774
CBD_C;d;L228;68;174;15.5;0.609;36;0.768;0.014;0.407;0.011;0.386;0.005;36;176;0.795
CBD_C;a;L229;62;156;15.5;0.603;31;0.752;0;0.376;0;0.397;0;31;156;0.801
CBD_P;b;L230;50;132;15.7;0.621;29;0.796;0.019;0.462;0.015;0.373;0.006;29;134;0.784
CBD_P;c;L231;46;108;15.9;0.574;29;0.785;0.025;0.495;0.019;0.418;0.008;29;110;0.736
CBD_P;d;L232;55;148;15.9;0.628;32;0.802;0.017;0.467;0.014;0.367;0.005;32;150;0.787
CBD_P;a;L233;62;154;15.5;0.597;33;0.76;0.008;0.405;0.006;0.4;0.003;33;155;0.787
CBD_V;b;L234;52;145;15.7;0.641;35;0.845;0.027;0.569;0.021;0.351;0.008;35;148;0.764
CBD_V;c;L235;52;140;15.5;0.629;33;0.822;0.018;0.522;0.014;0.366;0.005;33;142;0.768
CBD_V;d;L236;57;148;15.5;0.615;30;0.771;0.017;0.406;0.014;0.38;0.005;30;150;0.8
CBD_V;a;L237;49;142;15.3;0.655;24;0.788;0.017;0.386;0.014;0.34;0.005;24;144;0.833
CBD_C;b;L238;51;144;15.2;0.646;32;0.83;0.009;0.521;0.007;0.352;0.002;32;145;0.779
CBD_C;c;L239;48;123;15;0.61;29;0.798;0.031;0.482;0.024;0.381;0.009;29;126;0.77
CBD_C;d;L240;58;163;15.2;0.644;32;0.802;0.015;0.442;0.012;0.352;0.004;32;165;0.806
CBD_C;a;L241;43;111;14.8;0.613;23;0.773;0.033;0.413;0.027;0.377;0.01;23;114;0.798
